ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
BAJAJ_AUTO.EQ-NSE,11-03-2022,3425,3360,80.65,0.1,31-03-2022,16297.73723,204.379562,0,FALSE,0,16630.45,16450,0.05,290.35,0,42.09146475,12341.38583,No SL Hit,99.88%,-99.98%
BAJAJ_AUTO.EQ-NSE,08-04-2022,3804,3740,58,116,22-04-2022,-10993.16509,184.0168244,0,FALSE,0,17784.35,17600,446.75,164,0,39.36044893,-10888.77299,Intraday SL Hit,-100.00%,172.41%
BAJAJ_AUTO.EQ-NSE,06-05-2022,3500,3450,70,0.05,26-05-2022,13849.9,200,0,FALSE,0,16411.25,16250,79.15,229.85,0,42.65366745,6559.707518,No SL Hit,99.93%,-65.56%
BAJAJ_AUTO.EQ-NSE,10-06-2022,3877,3800,150,300,14-06-2022,-27895.27986,180.5519732,0,FALSE,0,16201.8,16050,461.75,213.7,0,43.20507598,-10425.19041,Intraday SL Hit,-100.00%,116.07%
BAJAJ_AUTO.EQ-NSE,08-07-2022,3825,3750,55.85,0.05,28-07-2022,10109.46405,183.0065359,0,FALSE,0,16220.6,16050,0.05,186.55,0,43.15500043,8128.934811,No SL Hit,99.91%,-99.97%
BAJAJ_AUTO.EQ-NSE,05-08-2022,4013.8501,3950,58.15,0.05,25-08-2022,10030.9177,174.396149,0,FALSE,0,17397.5,17200,0.05,186,0,40.23566604,7556.680558,No SL Hit,99.91%,-99.97%
BAJAJ_AUTO.EQ-NSE,09-09-2022,3844,3800,76.7,153.4,16-09-2022,-14386.23829,182.1019771,0,FALSE,0,17833.35,17650,304.1,189.5,0,39.25229976,-4304.564201,Intraday SL Hit,-100.00%,60.47%
BAJAJ_AUTO.EQ-NSE,07-10-2022,3601.3999,3550,78.6,0.1,27-10-2022,15104.98737,194.368862,0,FALSE,0,17314.65,17100,0.05,194.05,0,40.42819231,7921.54043,No SL Hit,99.87%,-99.97%
BAJAJ_AUTO.EQ-NSE,04-11-2022,3775,3700,33,66,18-11-2022,-6302.781457,185.4304636,0,FALSE,0,18117.15,17900,8.4,126.9,0,38.63742366,4630.811138,Intraday SL Hit,-100.00%,-93.38%
BAJAJ_AUTO.EQ-NSE,09-12-2022,3617.45,3550,31.3,0.2,29-12-2022,5957.09685,193.5064756,0,FALSE,0,18496.6,18300,108.4,102,0,37.8447931,-162.5812311,No SL Hit,99.36%,6.27%
BAJAJ_AUTO.EQ-NSE,06-01-2023,3640,3580,29.65,59.3,11-01-2023,-5872.980769,192.3076923,0,FALSE,0,17859.45,0,0,0,0,0,0,Intraday SL Hit,-100.00%,0.00%
BAJAJ_AUTO.EQ-NSE,03-02-2023,3852.8501,3800,43.25,0.2,23-02-2023,7742.541035,181.683684,0,FALSE,0,17854.05,17650,138.55,137.85,0,39.20679062,80.92281583,No SL Hit,99.54%,0.51%
BAJAJ_AUTO.EQ-NSE,10-03-2023,3821,3760,33,66,15-03-2023,-6226.903952,183.1981157,0,FALSE,0,17412.9,17250,332.2,120,0,40.20008155,-8348.672536,Intraday SL Hit,-100.00%,176.83%
BAJAJ_AUTO.EQ-NSE,10-04-2023,4060.75,4000,39.65,0.05,27-04-2023,6757.889552,172.3819491,0,FALSE,0,17624.05,17500,0.05,97.9,0,39.71845291,3925.354842,No SL Hit,99.87%,-99.95%
BAJAJ_AUTO.EQ-NSE,05-05-2023,4445.7998,4380,38.2,0.25,25-05-2023,5914.762514,157.4519842,0,FALSE,0,18069,17900,0.05,97.75,0,38.74038408,3822.823621,No SL Hit,99.35%,-99.95%
BAJAJ_AUTO.EQ-NSE,09-06-2023,4740,4680,47.2,94.4,16-06-2023,-7179.578059,147.6793249,0,FALSE,0,18563.4,18450,20.15,96,0,37.70860941,2903.996574,Intraday SL Hit,-100.00%,-79.01%
BAJAJ_AUTO.EQ-NSE,07-07-2023,4825,4760,53,0.15,27-07-2023,7590.248705,145.0777202,0,FALSE,0,19331.8,19200,0.05,113.6,0,36.20976836,4152.771599,No SL Hit,99.72%,-99.96%
BAJAJ_AUTO.EQ-NSE,11-08-2023,4589,4540,43.7,0.2,31-08-2023,6568.468076,152.5386795,0,FALSE,0,19428.3,19300,45.6,90.6,0,36.02991512,1670.418925,No SL Hit,99.54%,-49.67%
BAJAJ_AUTO.EQ-NSE,08-09-2023,4755,4700,52,0.1,28-09-2023,7563.680336,147.2134595,0,FALSE,0,19819.95,19700,175.85,102.5,0,35.31794984,-2492.264108,No SL Hit,99.81%,71.56%
BAJAJ_AUTO.EQ-NSE,06-10-2023,5024,4950,60.1,0.25,26-10-2023,8254.886545,139.3312102,0,FALSE,0,19653.5,19550,694.95,118.75,0,35.61706566,-20232.73717,No SL Hit,99.58%,485.22%
BAJAJ_AUTO.EQ-NSE,10-11-2023,5391.6,5300,37.05,0.05,30-11-2023,4755.601306,129.8315899,0,FALSE,0,19425.35,19350,0.05,100.3,0,36.03538675,3648.709032,No SL Hit,99.87%,-99.95%
BAJAJ_AUTO.EQ-NSE,08-12-2023,6077.2,6000,76.7,0.05,28-12-2023,8740.497268,115.1846245,0,FALSE,0,20969.4,20850,0.05,104.7,0,33.38197564,3528.39137,No SL Hit,99.93%,-99.95%
BAJAJ_AUTO.EQ-NSE,05-01-2024,6995.9,6900,162.05,0.15,25-01-2024,16037.19321,100.0586058,0,FALSE,0,21710.8,21600,248.3,162.1,0,32.2420178,-2646.940693,No SL Hit,99.91%,53.18%
BAJAJ_AUTO.EQ-NSE,09-02-2024,7780,7650,105,0.7,29-02-2024,9289.215938,89.97429306,0,FALSE,0,21782.5,21650,0.05,202.25,0,32.1358889,6562.887639,No SL Hit,99.33%,-99.98%
BAJAJ_AUTO.EQ-NSE,11-03-2024,8654.2,8550,158.35,352.1,14-03-2024,-16084.46188,80.88558157,0,FALSE,0,22332.65,22250,347,184.45,0,31.34424262,-4928.427661,Overnight SL Hit,-122.36%,88.13%
